epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
30,0.9985294342041016,0.9998526573181152,9.999999747378752e-06,0.03407270833849907,0.9954038262367249,0.9908496737480164,0.9411764740943909,0.997426450252533,0.2534911334514618,0.9512194991111755,0.9176470637321472
31,0.9992647171020508,0.9999997615814209,9.999999747378752e-06,0.028631936758756638,1.0,0.9992647171020508,0.9352940917015076,0.9973734021186829,0.25208839774131775,0.9512194991111755,0.9176470637321472
32,0.9992647171020508,0.9999999403953552,9.999999747378752e-06,0.02447388879954815,1.0,0.9977940917015076,0.9411764740943909,0.9974967837333679,0.2465914487838745,0.957317054271698,0.9235293865203857
33,0.9985294342041016,0.9999995827674866,9.999999747378752e-06,0.020547915250062943,0.9992631077766418,0.9970588088035583,0.9352940917015076,0.9973637461662292,0.24698854982852936,0.9512194991111755,0.9176470637321472
34,0.9992647171020508,0.9999998211860657,9.999999747378752e-06,0.018677018582820892,0.9992641806602478,0.9985294342041016,0.9411764740943909,0.9975281357765198,0.24229219555854797,0.9578313231468201,0.9352940917015076
35,1.0,0.9999999403953552,9.999999747378752e-06,0.01705195941030979,1.0,0.9985294342041016,0.9470587968826294,0.9973670840263367,0.2410910725593567,0.9580838084220886,0.9411764740943909
36,1.0,0.9999999403953552,9.999999747378752e-06,0.016695242375135422,1.0,1.0,0.9411764740943909,0.9974676370620728,0.2440941482782364,0.9520958065986633,0.9352940917015076
37,0.9985294342041016,0.9999971985816956,9.999999747378752e-06,0.0168830007314682,0.9992641806602478,0.9985294342041016,0.9411764740943909,0.9975637793540955,0.24167588353157043,0.9520958065986633,0.9352940917015076
38,0.9992647171020508,0.9999996423721313,9.999999747378752e-06,0.015315311029553413,1.0,0.9985294342041016,0.9470587968826294,0.9976826310157776,0.23912788927555084,0.9578313231468201,0.9352940917015076
39,0.9992647171020508,0.9999998807907104,9.999999747378752e-06,0.012157044373452663,1.0,0.9992647171020508,0.9470587968826294,0.997755229473114,0.23771220445632935,0.9578313231468201,0.9352940917015076
40,0.9992647171020508,0.9999996423721313,9.999999747378752e-06,0.012842660769820213,1.0,0.9992647171020508,0.9470587968826294,0.9977033138275146,0.23658886551856995,0.9580838084220886,0.9411764740943909
41,1.0,0.9999999403953552,9.999999747378752e-06,0.011128182522952557,1.0,0.9992647171020508,0.9470587968826294,0.9950410723686218,0.23070596158504486,0.9580838084220886,0.9411764740943909
42,1.0,1.0000001192092896,9.999999747378752e-06,0.010483796708285809,1.0,0.9985294342041016,0.9470587968826294,0.99513840675354,0.22729967534542084,0.9580838084220886,0.9411764740943909
43,1.0,1.0,9.999999747378752e-06,0.008159682154655457,1.0,1.0,0.9470587968826294,0.9923756718635559,0.2292441427707672,0.9583333134651184,0.9470587968826294
44,0.9992647171020508,0.9999998807907104,9.999999747378752e-06,0.009063228964805603,1.0,0.9992647171020508,0.9470587968826294,0.9895913600921631,0.23247621953487396,0.9583333134651184,0.9470587968826294
